Test Type,RMSE,DTW avg values
Beef with 15 segments for 5 permutations and nobottleneck,0.65522494913177,65.0007949681473
Beef with 15 segments for 6 permutations and nobottleneck,0.59447417022581,60.9348605250356
Beef with 15 segments for 7 permutations and nobottleneck,0.557522017071209,56.5761161019983
Beef with 15 segments for 8 permutations and nobottleneck,0.502071654943829,50.1486530932977
Beef with 15 segments for 9 permutations and nobottleneck,0.525856756774286,56.0365790052232
Beef with 15 segments for 10 permutations and nobottleneck,0.488977465243113,50.1872326804777
Beef with 15 segments for 11 permutations and nobottleneck,0.49133339578093,43.980442541478
Beef with 15 segments for 12 permutations and nobottleneck,0.329903302569429,39.8441850713322
Beef with 15 segments for 13 permutations and nobottleneck,0.526571361979638,56.7373084925676
Beef with 15 segments for 14 permutations and nobottleneck,0.360751216060413,43.1863077388628
Beef with 15 segments for 15 permutations and nobottleneck,0.388669879636751,38.8744093905624
Beef with 16 segments for 1 permutations and bottleneck,0.835646465465963,105.035229799138
Beef with 16 segments for 1 permutations and nobottleneck,0.894035772054041,86.1338414127309
Beef with 16 segments for 2 permutations and nobottleneck,0.714116506352781,78.2767513739197
Beef with 16 segments for 3 permutations and nobottleneck,0.627588408236689,65.2744510358308
Beef with 16 segments for 4 permutations and nobottleneck,0.623587236593053,69.153155725575
Beef with 16 segments for 5 permutations and nobottleneck,0.522125350234801,51.3420287896025
Beef with 16 segments for 6 permutations and nobottleneck,0.51001791565947,51.8694191911419
Beef with 16 segments for 7 permutations and nobottleneck,0.561286122724877,57.8591577307302
Beef with 16 segments for 8 permutations and nobottleneck,0.463919552806229,51.3384631227974
Beef with 16 segments for 9 permutations and nobottleneck,0.540329481822379,56.5006428419514
Beef with 16 segments for 10 permutations and nobottleneck,0.439641905368321,49.0588151858608
Beef with 16 segments for 11 permutations and nobottleneck,0.493085245527719,48.7459962962193
Beef with 16 segments for 12 permutations and nobottleneck,0.393555129114193,41.5710513758171
Beef with 16 segments for 13 permutations and nobottleneck,0.411595185928637,44.3239313992165
Beef with 16 segments for 14 permutations and nobottleneck,0.452952870997612,37.246720698813
Beef with 16 segments for 15 permutations and nobottleneck,0.387294282335339,36.7568258423136
Beef with 16 segments for 16 permutations and nobottleneck,0.45598646039791,37.6188336906635
Beef with 17 segments for 1 permutations and bottleneck,0.884465782959549,93.7347755772
Beef with 17 segments for 1 permutations and nobottleneck,0.706662637496881,78.4945494677538
