Test Type,RMSE,DTW min values,DTW max values,DTW avg values,DTW range values,min index,max index,DTW min values by class,DTW max values by class,DTW avg values by class,DTW range values by class,min index by class,max index by class
Beef with 7 segments for 1 permutations and bottleneck,2.29596815185509,305.756782580132,792.813935956869,615.34174033013,487.057153376737,2,6,"[305.75678258013176, 493.15677610402787, 538.0605483476337, 576.0665605622919, 632.4966698060293]","[683.8823495338773, 792.8139359568692, 733.5754094416025, 707.2795883582509, 766.1451770966436]","[521.602821318409, 602.859290565406, 635.5619861307578, 630.6069979674218, 686.0776056686523]","[378.1255669537456, 299.6571598528413, 195.51486109396876, 131.21302779595896, 133.64850729061425]","[2, 10, 14, 20, 26]","[0, 6, 17, 21, 29]"
Beef with 7 segments for 1 permutations and nobottleneck,1.08512500797178,38.7884712964017,342.736407008055,139.599501830609,303.947935711654,28,29,"[100.9128468692955, 54.33963328940151, 75.15016591259185, 113.81117784169405, 38.78847129640172]","[217.28344386572246, 210.25470194053312, 191.13215217354062, 224.46800705439162, 342.73640700805527]","[147.2333109367083, 116.1418358936027, 114.711577833128, 161.32957020751817, 158.58121428208605]","[116.37059699642695, 155.9150686511316, 115.98198626094877, 110.65682921269757, 303.94793571165354]","[4, 7, 17, 23, 28]","[2, 10, 14, 20, 29]"
Beef with 7 segments for 2 permutations and nobottleneck,0.904171966021761,43.4989328351304,244.101889624956,111.162409701561,200.602956789826,19,2,"[127.2700269450477, 57.99396650528898, 65.60681598628962, 43.498932835130354, 56.49766729425746]","[244.1018896249563, 221.3788476222208, 95.51116899128009, 122.7461917501312, 127.09085564984287]","[184.6981888812278, 113.31385091006742, 80.42691860267995, 84.40271097606265, 92.97037913776636]","[116.8318626799086, 163.3848811169318, 29.90435300499047, 79.24725891500086, 70.5931883555854]","[0, 11, 17, 19, 28]","[2, 9, 12, 22, 29]"
Beef with 7 segments for 3 permutations and nobottleneck,0.745554785221943,41.0777210766687,197.266866326875,94.8373972427586,156.189145250206,27,2,"[73.22737361052972, 50.2318289982526, 67.90181059890428, 69.54874905135622, 41.07772107666868]","[197.266866326875, 132.54131079688386, 149.04637530233398, 124.24178229072095, 125.88948072081055]","[109.21276866709144, 93.05866443586177, 107.94635736085523, 88.59679581399176, 75.37239993599302]","[124.03949271634528, 82.30948179863125, 81.14456470342971, 54.69303323936472, 84.81175964414187]","[5, 7, 17, 22, 27]","[2, 8, 12, 23, 29]"
Beef with 7 segments for 4 permutations and nobottleneck,0.695345006012626,38.525360028294,166.389148425842,91.1965917191303,127.863788397548,10,1,"[104.13732106155766, 38.525360028293974, 39.201877590595444, 43.66312232379243, 53.807324169978635]","[166.38914842584202, 107.5785667869551, 140.5195883572042, 136.4997986891637, 100.82962259826627]","[135.96335713489708, 77.68840825427692, 93.37943136651954, 71.79669662767188, 77.15506521228598]","[62.25182736428437, 69.05320675866112, 101.31771076660877, 92.83667636537126, 47.022298428287634]","[4, 10, 16, 22, 28]","[1, 9, 17, 19, 27]"
Beef with 7 segments for 5 permutations and nobottleneck,0.63862916852587,29.6571974843453,170.440785148211,83.612753777089,140.783587663866,28,2,"[56.48779302112784, 51.75520775799606, 41.82106284814311, 54.3204904574657, 29.65719748434533]","[170.4407851482111, 137.33816167469138, 159.9468613399768, 143.34990459137305, 97.86742225585982]","[92.1388794779474, 73.9262163730666, 75.48392585303498, 107.83550526103413, 68.67924192036196]","[113.95299212708325, 85.58295391669532, 118.1257984918337, 89.02941413390735, 68.21022477151449]","[0, 6, 13, 23, 28]","[2, 8, 16, 22, 25]"
Beef with 7 segments for 6 permutations and nobottleneck,0.682974455834487,40.1598071693084,195.878481623381,88.3999195583123,155.718674454072,26,1,"[46.23828331540217, 55.385654165583794, 48.61025517654059, 55.82381413499306, 40.15980716930837]","[195.87848162338057, 113.99511124896304, 99.44590475668883, 134.11214787076315, 104.71171355412321]","[123.47854425401671, 92.35010417002354, 70.47987403851106, 77.92511299704397, 77.76596233196601]","[149.64019830797838, 58.60945708337925, 50.83564958014824, 78.2883337357701, 64.55190638481483]","[0, 8, 12, 19, 26]","[1, 11, 13, 22, 27]"
Beef with 7 segments for 7 permutations and nobottleneck,0.74021332984182,35.2805606378735,195.915969173653,91.7897203435371,160.63540853578,6,4,"[85.89285560411852, 35.28056063787346, 62.96557694001627, 72.12875875476021, 38.47327777245541]","[195.9159691736534, 127.44563445051517, 92.1725396166918, 154.6805053628164, 113.73562467777407]","[128.9507043700059, 81.70402395381736, 75.14673995184705, 99.33105144304572, 73.81608199896944]","[110.02311356953487, 92.16507381264171, 29.206962676675523, 82.55174660805619, 75.26234690531865]","[5, 6, 12, 22, 25]","[4, 9, 13, 19, 29]"
Beef with 8 segments for 1 permutations and bottleneck,1.08261181545508,50.0838930325893,285.994610075514,130.102894598618,235.910717042924,11,29,"[96.32169256850867, 50.083893032589344, 65.67362374398094, 82.44856633645318, 101.50512949225794]","[259.41322563448125, 130.4981055550306, 138.75871173686957, 158.50249152744735, 285.9946100755136]","[190.4734326277311, 99.14896387701543, 106.00121663041311, 108.2033014893783, 146.68755836854984]","[163.09153306597258, 80.41421252244126, 73.08508799288863, 76.05392519099416, 184.48948058325567]","[0, 11, 17, 23, 26]","[1, 7, 16, 21, 29]"
Beef with 8 segments for 1 permutations and nobottleneck,1.14430501369609,47.9948188250362,310.788809149571,134.17070265427,262.793990324535,23,1,"[131.3284106750049, 74.20887371812475, 78.45385593284102, 47.99481882503624, 108.18590452978216]","[310.7888091495709, 150.45035488967565, 173.55567291203678, 241.7034430248904, 172.12656995382096]","[186.547130088829, 109.815232540583, 105.90581108724172, 136.6338247440329, 131.95151481066313]","[179.460398474566, 76.2414811715509, 95.10181697919576, 193.70862419985414, 63.9406654240388]","[5, 7, 16, 23, 25]","[1, 9, 15, 21, 27]"
