Test Type,RMSE,DTW min values,DTW max values,DTW avg values,DTW range values,min index,max index,DTW min values by class,DTW max values by class,DTW avg values by class,DTW range values by class,min index by class,max index by class
ECG200 with 19 segments for 16 permutations and nobottleneck,0.261678870649377,5.84471609961541,31.4308779278356,10.7015607251487,25.5861618282202,3,24,"[6.501592713916376, 5.844716099615405]","[28.44712385905806, 31.430877927835567]","[11.81788141928947, 10.073630334694496]","[21.945531145141683, 25.586161828220163]","[18, 3]","[12, 24]"
ECG200 with 19 segments for 17 permutations and nobottleneck,0.288731830746642,5.45314387981516,31.1618642634293,10.7059536763404,25.7087203836141,27,24,"[6.543439899183752, 5.453143879815164]","[27.105675209147485, 31.16186426342926]","[11.938131705211669, 10.012853535100376]","[20.562235309963732, 25.708720383614093]","[42, 27]","[12, 24]"
ECG200 with 19 segments for 18 permutations and nobottleneck,0.284282726996577,5.20952599344878,35.3354337219158,10.5619634829346,30.125907728467,3,20,"[6.84604249182481, 5.209525993448779]","[35.335433721915805, 31.9223256355738]","[12.057606773865059, 9.720664131786268]","[28.489391230090995, 26.71279964212502]","[18, 3]","[20, 24]"
ECG200 with 19 segments for 19 permutations and nobottleneck,0.294755114774199,5.87189895789768,31.8690716013742,10.821193267222,25.9971726434765,37,24,"[6.75089853321088, 5.8718989578976775]","[30.195563574546316, 31.869071601374216]","[12.056469183926229, 10.126350564075883]","[23.444665041335437, 25.99717264347654]","[9, 37]","[12, 24]"
ECG200 with 20 segments for 1 permutations and bottleneck,0.384061051638666,8.82998526926968,38.1869122530001,15.4030167014387,29.3569269837304,37,24,"[9.211555830106928, 8.829985269269681]","[29.384042338489806, 38.18691225300013]","[16.198409845974645, 14.955608057637289]","[20.172486508382878, 29.35692698373045]","[26, 37]","[91, 24]"
ECG200 with 20 segments for 1 permutations and nobottleneck,0.374368966168444,8.78808015915863,34.0355821017565,14.9617205817389,25.2475019425978,39,24,"[8.78808015915863, 9.200088075925194]","[33.434358935361765, 34.03558210175646]","[15.519663410372821, 14.647877740632342]","[24.646278776203133, 24.835494025831267]","[39, 47]","[51, 24]"
ECG200 with 20 segments for 2 permutations and nobottleneck,0.335256159125568,7.62323436528617,33.8185918800767,13.2533357151721,26.1953575147905,26,20,"[7.62323436528617, 8.217895845822305]","[33.818591880076696, 33.56618206371836]","[13.558411544246486, 13.081730561317734]","[26.195357514790526, 25.348286217896053]","[26, 21]","[20, 24]"
ECG200 with 20 segments for 3 permutations and nobottleneck,0.315399994529728,6.92563258667816,38.2900226005514,12.7970260823522,31.3643900138732,9,24,"[6.925632586678162, 8.393620831733527]","[29.06271540051001, 38.290022600551396]","[13.490157480592758, 12.407139670841936]","[22.13708281383185, 29.896401768817867]","[9, 21]","[12, 24]"
ECG200 with 20 segments for 4 permutations and nobottleneck,0.289848543154451,6.8413855560286,32.1378952242149,12.1240503697309,25.2965096681863,47,24,"[7.462493276446854, 6.841385556028597]","[31.383314238679663, 32.137895224214915]","[12.875605062287617, 11.70130085516768]","[23.92082096223281, 25.296509668186317]","[9, 47]","[12, 24]"
ECG200 with 20 segments for 5 permutations and nobottleneck,0.269734487647493,6.76843436662389,31.8654833915599,11.5201985597794,25.097049024936,9,24,"[6.76843436662389, 7.132406184463617]","[27.41156310188018, 31.86548339155992]","[12.295844485562931, 11.08389772652609]","[20.64312873525629, 24.7330772070963]","[9, 80]","[20, 24]"
ECG200 with 20 segments for 6 permutations and nobottleneck,0.2586264788909,4.86718994468899,33.4489502323943,11.0190519248211,28.5817602877053,3,24,"[6.476612166720897, 4.867189944688994]","[29.7009948277385, 33.4489502323943]","[11.510571926943369, 10.742571923627338]","[23.224382661017604, 28.581760287705308]","[9, 3]","[12, 24]"
ECG200 with 20 segments for 7 permutations and nobottleneck,0.276293206783435,6.60490492222457,33.4112732402536,11.5662856272715,26.806368318029,21,24,"[6.991351240278914, 6.604904922224566]","[29.55212273345421, 33.41127324025361]","[12.892142269821662, 10.820491265837017]","[22.560771493175295, 26.80636831802904]","[98, 21]","[51, 24]"
ECG200 with 20 segments for 8 permutations and nobottleneck,0.267277786337445,5.86569479352703,34.8188677398442,11.4878585480352,28.9531729463172,27,24,"[6.572054214679297, 5.865694793527028]","[26.51673697188477, 34.818867739844215]","[12.625553678587764, 10.847905037099359]","[19.944682757205474, 28.95317294631719]","[26, 27]","[51, 24]"
ECG200 with 20 segments for 9 permutations and nobottleneck,0.268437878133327,6.78923475303612,32.2816662026326,10.992914325948,25.4924314495965,21,24,"[6.838427365088132, 6.789234753036117]","[26.712432278328308, 32.28166620263261]","[11.680599216773082, 10.606091574858914]","[19.874004913240174, 25.49243144959649]","[9, 21]","[20, 24]"
ECG200 with 20 segments for 10 permutations and nobottleneck,0.265030286680206,6.40037505638463,33.2101218305067,11.2070133163561,26.809746774122,26,24,"[6.400375056384633, 6.538016684967095]","[29.860101776728904, 33.21012183050668]","[12.209773452329792, 10.642960739870968]","[23.45972672034427, 26.672105145539582]","[26, 90]","[12, 24]"
ECG200 with 20 segments for 11 permutations and nobottleneck,0.258578311299678,5.47196126270229,33.2820677108106,10.7695276723284,27.8101064481084,26,24,"[5.4719612627022896, 6.514211488389335]","[26.199068803723826, 33.282067710810644]","[11.990328213555056, 10.082827367888385]","[20.727107541021535, 26.767856222421308]","[26, 37]","[12, 24]"
ECG200 with 20 segments for 12 permutations and nobottleneck,0.272693341911709,5.54613179503865,31.7542540976786,10.5422956207203,26.2081223026399,26,24,"[5.546131795038645, 6.514058950185254]","[27.098731858791382, 31.754254097678576]","[11.561740508425586, 9.96885787138606]","[21.552600063752738, 25.24019514749332]","[26, 72]","[12, 24]"
ECG200 with 20 segments for 13 permutations and nobottleneck,0.261551559978241,6.03827768528662,34.7828988879361,10.7124377777132,28.7446212026494,90,24,"[6.738460230580604, 6.03827768528662]","[25.017896541340807, 34.78289888793606]","[11.595498116407056, 10.215716337197964]","[18.279436310760204, 28.744621202649437]","[26, 90]","[12, 24]"
ECG200 with 20 segments for 14 permutations and nobottleneck,0.249599569056884,6.18615886646763,32.6275099213982,10.6631920522084,26.4413510549306,95,24,"[6.444871854821666, 6.186158866467634]","[25.77012741563759, 32.62750992139824]","[11.615189235074233, 10.127693636846416]","[19.325255560815922, 26.441351054930607]","[64, 95]","[12, 24]"
ECG200 with 20 segments for 15 permutations and nobottleneck,0.240234430168029,4.97249816425125,32.3724438499744,10.5206694624567,27.3999456857231,73,24,"[6.295764811990119, 4.972498164251245]","[29.04531017758016, 32.37244384997438]","[11.424286323823127, 10.012384977938098]","[22.74954536559004, 27.399945685723136]","[26, 73]","[12, 24]"
ECG200 with 20 segments for 16 permutations and nobottleneck,0.246945166651542,5.79380768189166,31.3812387943415,10.6766912123234,25.5874311124498,74,24,"[7.367267085821984, 5.79380768189166]","[27.869789905885746, 31.381238794341485]","[11.943711719977788, 9.96399217676778]","[20.50252282006376, 25.587431112449824]","[39, 74]","[12, 24]"
ECG200 with 20 segments for 17 permutations and nobottleneck,0.244338981899102,4.72799889414012,29.3903992019607,10.5506871890646,24.6624003078206,3,24,"[7.019148302882586, 4.72799889414012]","[26.244234266002298, 29.390399201960683]","[11.8916675727178, 9.796385723259723]","[19.22508596311971, 24.662400307820562]","[84, 3]","[51, 24]"
ECG200 with 20 segments for 18 permutations and nobottleneck,0.237206134185256,5.5729893410133,30.8425633592675,10.3010794950089,25.2695740182542,80,24,"[6.542419649929717, 5.5729893410132965]","[27.15070573903325, 30.842563359267544]","[11.271293963175793, 9.755333856664963]","[20.608286089103533, 25.269574018254247]","[64, 80]","[12, 24]"
ECG200 with 20 segments for 19 permutations and nobottleneck,0.246312259125652,5.8509568022919,30.4159716349687,10.480309658336,24.5650148326768,74,24,"[5.885713198264708, 5.850956802291898]","[26.345018103410062, 30.4159716349687]","[11.759351087584976, 9.760848854383479]","[20.459304905145355, 24.565014832676802]","[9, 74]","[12, 24]"
ECG200 with 20 segments for 20 permutations and nobottleneck,0.245869552212838,6.04192602063623,30.688815325524,10.2932566589008,24.6468893048877,27,24,"[6.274275783035127, 6.0419260206362315]","[28.633644094148647, 30.688815325523954]","[11.467000138796799, 9.633025951459256]","[22.35936831111352, 24.646889304887722]","[81, 27]","[12, 24]"
ECG200 with 21 segments for 1 permutations and bottleneck,0.384739576072435,7.88754350942558,39.4359294101877,15.1083935867416,31.5483859007621,39,24,"[7.8875435094255755, 9.218443988727538]","[34.43692939628307, 39.435929410187654]","[15.417916446406004, 14.934286978180403]","[26.549385886857493, 30.21748542146012]","[39, 27]","[12, 24]"
ECG200 with 21 segments for 1 permutations and nobottleneck,0.398424027620721,7.55157356926508,39.6774153167762,14.9203523130493,32.1258417475112,72,24,"[9.002103950674508, 7.5515735692650825]","[31.941242603148968, 39.677415316776234]","[15.696490271843548, 14.483774711227483]","[22.939138652474462, 32.12584174751115]","[84, 72]","[91, 24]"
ECG200 with 22 segments for 1 permutations and bottleneck,0.387946607724969,6.61576047620136,40.866785810543,14.8488135161388,34.2510253343416,47,24,"[9.00004783934765, 6.615760476201364]","[36.136973966749274, 40.86678581054295]","[15.480433224705886, 14.493527430069854]","[27.136926127401622, 34.251025334341584]","[81, 47]","[12, 24]"
ECG200 with 22 segments for 1 permutations and nobottleneck,0.371925113357406,8.13842315411507,38.0156074376626,14.83631871437,29.8771842835475,81,24,"[8.13842315411507, 9.253207055061267]","[35.22927714552697, 38.01560743766258]","[14.981577170775495, 14.754610832641863]","[27.0908539914119, 28.762400382601314]","[81, 15]","[51, 24]"
ECG200 with 23 segments for 1 permutations and bottleneck,0.391676973405978,7.86762068165837,36.3617971545023,15.309159955859,28.494176472844,39,24,"[7.867620681658374, 8.951804332054817]","[33.760284740968466, 36.36179715450234]","[16.659493158892996, 14.549597529152436]","[25.892664059310093, 27.409992822447524]","[39, 72]","[12, 24]"
ECG200 with 23 segments for 1 permutations and nobottleneck,0.394958290290757,8.71605767331672,34.7569515515939,14.8903601738242,26.0408938782771,57,24,"[8.716057673316719, 9.123502526657644]","[31.27358331185539, 34.756951551593865]","[14.217338460887367, 15.268934887351206]","[22.55752563853867, 25.63344902493622]","[57, 21]","[12, 24]"
ECG200 with 24 segments for 1 permutations and bottleneck,0.378028665869336,8.57853284310666,42.6363042119578,14.6378332897727,34.0577713688511,81,24,"[8.578532843106657, 8.750112065517392]","[29.70814441463576, 42.6363042119578]","[15.234754183944899, 14.302065286800758]","[21.129611571529104, 33.88619214644041]","[81, 95]","[51, 24]"
ECG200 with 24 segments for 1 permutations and nobottleneck,0.351178157923238,7.14137888817622,40.4580952687102,13.9628811656022,33.3167163805339,9,24,"[7.1413788881762175, 9.122596047890152]","[31.160738804253945, 40.45809526871015]","[14.109058577610623, 13.88065637134753]","[24.01935991607773, 31.33549922082]","[9, 21]","[12, 24]"
ECG200 with 25 segments for 1 permutations and bottleneck,0.380194069917616,7.76892264815402,38.4308880079291,14.2636429303882,30.6619653597751,2,24,"[8.869618991420172, 7.768922648154021]","[34.81797194363118, 38.43088800792915]","[15.531758323359323, 13.550328021841874]","[25.948352952211007, 30.661965359775127]","[26, 2]","[60, 24]"
ECG200 with 25 segments for 1 permutations and nobottleneck,0.341160773816687,8.07713002991444,31.1460335670906,13.4782852351505,23.0689035371762,26,20,"[8.077130029914443, 8.373055762916573]","[31.146033567090637, 30.983724409945964]","[14.108328410212144, 13.123885949178284]","[23.068903537176194, 22.610668647029392]","[26, 27]","[20, 24]"
ECG200 with 26 segments for 1 permutations and bottleneck,0.3752383980239,8.92151276106402,40.120306017688,14.9914212257872,31.1987932566239,15,24,"[9.33201059881932, 8.921512761064019]","[28.354488069259872, 40.12030601768795]","[15.534003854027986, 14.686218497401828]","[19.022477470440553, 31.198793256623933]","[42, 15]","[60, 24]"
ECG200 with 26 segments for 1 permutations and nobottleneck,0.347972156082198,8.79745329200209,34.0633639109444,13.8921754767305,25.2659106189423,21,24,"[9.298438588721254, 8.797453292002094]","[30.299875738382948, 34.063363910944396]","[15.154681951151282, 13.182015584868848]","[21.001437149661694, 25.2659106189423]","[26, 21]","[60, 24]"
ECG200 with 27 segments for 1 permutations and bottleneck,0.3822463965199,7.48567904173006,37.9198188083502,14.3066175148668,30.4341397666201,37,24,"[9.129151357880012, 7.485679041730063]","[31.483695169649845, 37.919818808350186]","[14.964153664784586, 13.93675343053808]","[22.354543811769833, 30.434139766620124]","[81, 37]","[51, 24]"
ECG200 with 27 segments for 1 permutations and nobottleneck,0.350279730594128,7.79751206558549,40.8279017590531,14.1906283128342,33.0303896934676,9,24,"[7.797512065585487, 9.220856943741987]","[30.811921238592525, 40.82790175905313]","[14.891964180242262, 13.79612688741723]","[23.01440917300704, 31.60704481531114]","[9, 37]","[51, 24]"
ECG200 with 28 segments for 1 permutations and bottleneck,0.364794937853283,8.64301270801531,40.4744097357442,14.5408758387403,31.8313970277289,9,20,"[8.643012708015306, 8.991569349573819]","[40.47440973574417, 34.148003084797246]","[15.768799513622762, 13.850168771618897]","[31.831397027728862, 25.156433735223427]","[9, 47]","[20, 24]"
ECG200 with 28 segments for 1 permutations and nobottleneck,0.323828338833817,8.13761673924729,30.6532410602345,13.2665416518015,22.5156243209872,72,24,"[8.145846219533794, 8.137616739247287]","[28.34298672024523, 30.653241060234457]","[13.83385778629238, 12.94742632615031]","[20.197140500711434, 22.515624320987172]","[9, 72]","[20, 24]"
ECG200 with 29 segments for 1 permutations and bottleneck,0.380680619956569,7.51578244277141,38.0627268119273,14.575517285179,30.5469443691559,64,24,"[7.515782442771414, 8.635133356067591]","[32.25807158163571, 38.06272681192734]","[14.574163453491886, 14.57627881550298]","[24.742289138864297, 29.42759345585975]","[64, 2]","[12, 24]"
ECG200 with 29 segments for 1 permutations and nobottleneck,0.353405381679331,7.99829940405291,37.8379364152532,13.8099503983009,29.8396370112003,21,51,"[8.758119942920429, 7.998299404052907]","[37.837936415253225, 37.66330080820318]","[14.650874067735426, 13.336930834243944]","[29.079816472332794, 29.665001404150274]","[9, 21]","[51, 24]"
ECG200 with 30 segments for 1 permutations and bottleneck,0.364212456614701,6.02790386654809,37.0189814577913,14.63680046335,30.9910775912432,27,24,"[8.10137513540263, 6.027903866548094]","[29.039151936831807, 37.01898145779127]","[15.594511842404314, 14.098087812631988]","[20.937776801429177, 30.991077591243176]","[64, 27]","[51, 24]"
ECG200 with 30 segments for 1 permutations and nobottleneck,0.352173967564016,8.17916976041766,38.9858648773915,14.2282091986688,30.8066951169738,37,24,"[8.218265595550873, 8.17916976041766]","[35.04760404965686, 38.98586487739147]","[14.78094106833629, 13.917297521980863]","[26.829338454105987, 30.806695116973813]","[26, 37]","[51, 24]"
ECG200 with 31 segments for 1 permutations and bottleneck,0.366289283443286,7.40842585315762,33.7221504741767,14.299397404959,26.3137246210191,64,24,"[7.408425853157623, 9.019852341553808]","[27.366446429180463, 33.72215047417673]","[14.45494630798754, 14.211901147005506]","[19.95802057602284, 24.70229813262292]","[64, 37]","[91, 24]"
ECG200 with 31 segments for 1 permutations and nobottleneck,0.349027171463898,7.39593188547623,36.0543652576922,14.0960134126636,28.658433372216,74,24,"[7.914511037617509, 7.395931885476228]","[31.515751842707786, 36.0543652576922]","[15.140434642117928, 13.508526471095522]","[23.601240805090278, 28.658433372215967]","[81, 74]","[20, 24]"
ECG200 with 32 segments for 1 permutations and bottleneck,0.374010414154998,8.25154874266407,39.6714494447662,14.9038250091305,31.4199007021021,17,24,"[9.587933545801805, 8.251548742664065]","[35.84022809363629, 39.6714494447662]","[15.616820203825581, 14.502765212114532]","[26.252294547834488, 31.41990070210214]","[26, 17]","[51, 24]"
ECG200 with 32 segments for 1 permutations and nobottleneck,0.329060013953526,7.39941831285802,41.2314389715579,13.4927356599189,33.8320206586999,27,24,"[7.797317210112257, 7.399418312858024]","[28.32627480364139, 41.231438971557886]","[14.171610164421574, 13.11086875113612]","[20.52895759352913, 33.83202065869986]","[39, 27]","[12, 24]"
ECG200 with 33 segments for 1 permutations and bottleneck,0.361466723972035,7.38581857252606,39.1610101388534,14.4116429532766,31.7751915663273,26,60,"[7.38581857252606, 7.789179371702023]","[39.16101013885336, 37.21454680490561]","[16.157204654204985, 13.429764496504337]","[31.775191566327297, 29.425367433203586]","[26, 6]","[60, 24]"
ECG200 with 33 segments for 1 permutations and nobottleneck,0.30517296426352,6.71909304414165,35.9188652594519,12.5514341900967,29.1997722153102,9,24,"[6.7190930441416485, 7.7412543889594865]","[23.9182011169084, 35.91886525945188]","[12.486558112190103, 12.58792698391923]","[17.19910807276675, 28.17761087049239]","[9, 90]","[51, 24]"
ECG200 with 34 segments for 1 permutations and bottleneck,0.35113603631984,7.61574530510131,33.1643774642149,13.632678038112,25.5486321591136,81,24,"[7.615745305101314, 8.062756250361588]","[28.401768890181476, 33.164377464214915]","[14.178481669546251, 13.325663495430202]","[20.786023585080162, 25.101621213853328]","[81, 15]","[38, 24]"
ECG200 with 34 segments for 1 permutations and nobottleneck,0.298709843285408,6.63053596183042,33.1226272018622,12.6390001941036,26.4920912400318,15,24,"[7.108229096893852, 6.630535961830424]","[25.854348477916734, 33.12262720186225]","[12.743000702148159, 12.580499908328518]","[18.746119381022883, 26.492091240031826]","[9, 15]","[60, 24]"
ECG200 with 35 segments for 1 permutations and bottleneck,0.361924542244895,7.13290135410097,41.303288122775,13.8701679233496,34.170386768674,9,24,"[7.132901354100967, 7.695235692015065]","[35.13048066608989, 41.303288122775]","[15.512976309894595, 12.946088205918103]","[27.997579311988922, 33.60805243075993]","[9, 37]","[91, 24]"
ECG200 with 35 segments for 1 permutations and nobottleneck,0.326552366576726,8.24623078633541,32.0173695717768,13.2015725335055,23.7711387854414,6,24,"[8.41405578256508, 8.246230786335406]","[25.34341527604459, 32.01736957177681]","[13.718701951477284, 12.910687235896408]","[16.92935949347951, 23.771138785441405]","[81, 6]","[51, 24]"
ECG200 with 36 segments for 1 permutations and bottleneck,0.351836307074602,7.52242548679657,37.6507260880581,13.6037804785063,30.1283006012616,9,24,"[7.522425486796567, 9.122754430511181]","[28.22853793363444, 37.650726088058136]","[13.68393891400355, 13.558691358539024]","[20.70611244683787, 28.527971657546956]","[9, 37]","[60, 24]"
ECG200 with 36 segments for 1 permutations and nobottleneck,0.306880343484774,8.17354065338094,36.2710320956879,12.9200492665691,28.097491442307,26,24,"[8.173540653380936, 8.701337089982767]","[24.914772868352692, 36.27103209568793]","[13.177302780691065, 12.775344164875502]","[16.741232214971756, 27.569695005705164]","[26, 3]","[51, 24]"
ECG200 with 37 segments for 1 permutations and bottleneck,0.341182949768438,8.33652102394419,33.4910962083142,13.6910327355653,25.15457518437,58,24,"[8.336521023944192, 8.613174200247629]","[22.50268177635986, 33.49109620831418]","[13.654830232900364, 13.711396643314329]","[14.166160752415669, 24.877922008066555]","[58, 77]","[14, 24]"
ECG200 with 37 segments for 1 permutations and nobottleneck,0.307984651047851,8.13600063182519,36.2961354452627,12.8458601807391,28.1601348134375,3,24,"[8.443923023001705, 8.13600063182519]","[25.05050919271568, 36.296135445262685]","[12.99513653446109, 12.761892231770412]","[16.606586169713974, 28.160134813437494]","[81, 3]","[20, 24]"
ECG200 with 38 segments for 1 permutations and bottleneck,0.363630119792989,7.64328183280483,34.7378473644701,14.5029524000517,27.0945655316652,59,12,"[7.643281832804831, 8.706846387911789]","[34.73784736447008, 33.593023132654096]","[14.194531139809072, 14.676439358938245]","[27.094565531665246, 24.886176744742308]","[59, 90]","[12, 24]"
ECG200 with 38 segments for 1 permutations and nobottleneck,0.32401728292944,8.16516574203994,37.4203569429287,12.9470811347043,29.2551912008888,27,24,"[8.183637137246203, 8.165165742039937]","[26.809904739237485, 37.4203569429287]","[12.953341699198324, 12.9435595671764]","[18.62626760199128, 29.25519120088876]","[81, 27]","[20, 24]"
ECG200 with 39 segments for 1 permutations and bottleneck,0.327148561725562,8.107107831217,34.9409102083499,13.1917411177718,26.8338023771329,26,24,"[8.107107831216995, 8.26083173906889]","[29.891143888212277, 34.940910208349905]","[13.999288143078637, 12.737495916036725]","[21.784036056995284, 26.680078469281014]","[26, 15]","[12, 24]"
ECG200 with 39 segments for 1 permutations and nobottleneck,0.308619867922641,7.83831619643189,34.0337081455433,12.8202370867023,26.1953919491114,26,24,"[7.838316196431889, 8.806206397363729]","[23.409038049981348, 34.033708145543336]","[13.152274248179744, 12.63346618337118]","[15.570721853549458, 25.227501748179606]","[26, 27]","[20, 24]"
ECG200 with 40 segments for 1 permutations and bottleneck,0.35277624920019,7.24181085409722,36.1150393751383,13.4425988940978,28.8732285210411,26,24,"[7.2418108540972215, 8.837709407427349]","[35.47941119835065, 36.11503937513833]","[14.515303408616969, 12.839202604680754]","[28.237600344253426, 27.277329967710983]","[26, 3]","[91, 24]"
ECG200 with 40 segments for 1 permutations and nobottleneck,0.32513270352801,8.37663611590268,33.6939599642722,12.9497120328795,25.3173238483695,39,24,"[8.376636115902677, 8.428358016578748]","[33.149461532336595, 33.69395996427221]","[13.366774728306236, 12.715114266702017]","[24.772825416433918, 25.26560194769346]","[39, 48]","[51, 24]"
SmoothSubspace with 2 segments for 1 permutations and bottleneck,0.564947633964223,3.30443594360814,10.5651001994928,6.07147284676796,7.26066425588461,128,74,"[3.416865333684902, 4.125535971320806, 3.3044359436081443]","[9.759130090108744, 10.565100199492752, 9.327016810666313]","[6.596066651605263, 6.409647595662338, 5.208704293036289]","[6.342264756423843, 6.439564228171946, 6.022580867058169]","[21, 98, 128]","[38, 74, 146]"
SmoothSubspace with 2 segments for 1 permutations and nobottleneck,0.263722103335137,1.75272615179545,6.22913764526146,3.02154884810793,4.47641149346601,91,45,"[1.808202231813355, 1.7527261517954467, 1.7774222027475057]","[6.22913764526146, 4.930959318206794, 4.123277203499879]","[3.177689511976857, 3.149440169541413, 2.7375168628055166]","[4.420935413448105, 3.1782331664113475, 2.3458550007523735]","[23, 91, 102]","[45, 85, 109]"
SmoothSubspace with 3 segments for 1 permutations and bottleneck,0.950783628564632,5.50322514524968,14.0212454472408,9.09778843316791,8.51802030199112,55,143,"[6.735919017545645, 5.503225145249683, 5.54366256335365]","[13.195349716459411, 13.95497966309237, 14.021245447240805]","[9.25755882721553, 9.272211379511129, 8.763595092777084]","[6.459430698913766, 8.451754517842687, 8.477582883887155]","[23, 55, 131]","[36, 85, 143]"
SmoothSubspace with 3 segments for 1 permutations and nobottleneck,0.859416855639151,3.78382276756097,13.864394630661,8.44873567856084,10.0805718631,102,44,"[5.957638575138762, 4.872378578117505, 3.783822767560971]","[13.864394630661018, 12.40130395177161, 10.938673979466762]","[9.051581249117474, 8.72928207025553, 7.565343716309501]","[7.906756055522256, 7.528925373654104, 7.1548512119057905]","[6, 54, 102]","[44, 67, 143]"
SmoothSubspace with 3 segments for 2 permutations and nobottleneck,0.846483171105957,4.25612492766417,13.6303750801756,8.1959724484265,9.37425015251147,102,67,"[4.8968784972211825, 5.333658349586367, 4.256124927664172]","[11.973930719551461, 13.63037508017564, 10.84347431993079]","[8.754556666157361, 8.65828015985143, 7.175080519270711]","[7.077052222330279, 8.296716730589273, 6.587349392266618]","[8, 54, 102]","[15, 67, 133]"
SmoothSubspace with 3 segments for 3 permutations and nobottleneck,0.853954764791748,3.38064693549335,14.3120934085676,8.22200424730725,10.9314464730742,106,114,"[4.947623596892302, 5.298268753664616, 3.3806469354933473]","[13.964554696382564, 11.103798096613026, 14.312093408567593]","[8.92784247171363, 8.423033678922142, 7.31513659128598]","[9.016931099490261, 5.80552934294841, 10.931446473074246]","[23, 86, 106]","[36, 60, 114]"
SmoothSubspace with 4 segments for 1 permutations and bottleneck,1.05157057693949,5.5418132795725,17.5446269167814,9.72255069116928,12.0028136372089,141,145,"[7.476436304721562, 7.065424166888564, 5.541813279572499]","[15.136558521453175, 13.31634659559321, 17.544626916781414]","[10.493905348259768, 9.488672089675333, 9.18507463557275]","[7.6601222167316125, 6.250922428704646, 12.002813637208916]","[30, 56, 141]","[36, 66, 145]"
SmoothSubspace with 4 segments for 1 permutations and nobottleneck,0.967088865719703,4.54282952551027,14.3224442570048,9.17141553155272,9.77961473149448,129,22,"[5.330991429570389, 5.884383466529151, 4.542829525510274]","[14.322444257004754, 14.318451049449031, 10.875344607910572]","[9.581768947758853, 9.738169875346932, 8.194307771552381]","[8.991452827434365, 8.43406758291988, 6.332515082400298]","[3, 54, 129]","[22, 67, 110]"
SmoothSubspace with 4 segments for 2 permutations and nobottleneck,0.924351191887122,3.94856903704305,12.5358077151872,8.69510921755776,8.58723867814416,129,52,"[6.174873697733022, 4.705106504263831, 3.948569037043047]","[12.170541344361068, 12.535807715187207, 10.472395241669336]","[9.057624404741013, 9.266093145431572, 7.761610102500709]","[5.995667646628045, 7.830701210923376, 6.523826204626289]","[24, 54, 129]","[10, 52, 124]"
SmoothSubspace with 4 segments for 3 permutations and nobottleneck,0.908676764928312,2.89084551385585,13.7442880179342,8.62508387123341,10.8534425040784,117,12,"[5.512813167420839, 5.53919005003252, 2.8908455138558455]","[13.744288017934226, 13.45740872495869, 11.20660575389159]","[9.302970051572348, 9.153368212003322, 7.418913350124568]","[8.231474850513386, 7.91821867492617, 8.315760240035745]","[2, 54, 117]","[12, 66, 122]"
SmoothSubspace with 4 segments for 4 permutations and nobottleneck,0.920647163722372,3.9629370242668,13.789111984538,8.37562837772733,9.8261749602712,69,9,"[6.771429019640899, 3.962937024266801, 3.9880067897799965]","[13.789111984538, 12.28704320632703, 10.95099158840039]","[9.017494386946334, 8.651016936487903, 7.458373809747741]","[7.017682964897101, 8.32410618206023, 6.962984798620393]","[16, 69, 147]","[9, 70, 113]"
SmoothSubspace with 5 segments for 1 permutations and bottleneck,1.0346269757622,4.00227118524586,14.2529469052708,9.45660199301154,10.250675720025,113,12,"[5.844195982041005, 6.955310900214977, 4.0022711852458634]","[14.252946905270843, 13.544423797150703, 11.715392695492888]","[9.851587467027526, 9.833421958186563, 8.684796553820544]","[8.408750923229839, 6.589112896935726, 7.713121510247024]","[3, 99, 113]","[12, 71, 132]"
SmoothSubspace with 5 segments for 1 permutations and nobottleneck,0.965430363872771,5.46626559129992,13.2020709017347,9.23418443135008,7.73580531043477,138,9,"[6.9065416847152425, 7.064594969640475, 5.4662655912999245]","[13.202070901734695, 12.29322328979034, 12.266560036560042]","[9.718017918035109, 9.45409846223821, 8.530436913776919]","[6.295529217019452, 5.228628320149865, 6.800294445260118]","[30, 57, 138]","[9, 80, 115]"
SmoothSubspace with 5 segments for 2 permutations and nobottleneck,0.933099883521193,4.40316200004399,11.8813312613865,8.83225656982217,7.47816926134248,102,42,"[6.102502610737197, 5.548212367449359, 4.403162000043988]","[11.881331261386466, 11.841867658836044, 11.07964913077848]","[9.200570576183877, 9.1553869559459, 8.140812177336748]","[5.7788286506492685, 6.293655291386685, 6.6764871307344915]","[44, 54, 102]","[42, 65, 104]"
SmoothSubspace with 5 segments for 3 permutations and nobottleneck,0.924244118417023,5.33646648103345,13.0565006206806,9.01709221564502,7.72003413964714,19,9,"[5.336466481033447, 6.466088226201746, 5.6374199053793665]","[13.05650062068059, 12.66325432659746, 11.97008384679088]","[9.471199073863449, 9.22823304152247, 8.35184453154914]","[7.720034139647143, 6.197166100395714, 6.332663941411513]","[19, 69, 120]","[9, 64, 107]"
SmoothSubspace with 5 segments for 4 permutations and nobottleneck,0.922529819922638,4.70402289560315,15.7828353931376,8.60649700043424,11.0788124975344,69,44,"[6.623070973188592, 4.7040228956031545, 4.897160987039896]","[15.782835393137596, 11.827992529070613, 11.166401161489834]","[9.40249489683648, 8.841208284562542, 7.57578781990369]","[9.159764419949003, 7.123969633467459, 6.269240174449937]","[30, 69, 138]","[44, 76, 144]"
